date,country,latitude,longitude,city,currentCondition,temp,feelLikeTemp,wind,Wind Directin,uv_index,VisibilityValue,pressure,humidity,dewPoint,moonPhase,high,low,sunset,sunrise,airQualityNumber,airQualityText,airQualityDescription
2023-12-01 01:08:58.504974+05:00,pakistan,29.6100,73.1361,Harunabad,Clear,16 c,16 c, 3 km/h,<svg class="Icon--icon--2aW0V Icon--darkTheme--1PZ-8" data-testid="Icon" name="wind-direction" set="current-conditions" style="transform:rotate(90deg)" theme="dark" viewbox="0 0 24 24"><title>Wind Direction</title><path d="M18.467 4.482l-5.738 5.738a1.005 1.005 0 0 1-1.417 0L5.575 4.482l6.446 16.44 6.446-16.44z" fill="none" stroke="currentColor"></path></svg>,0 of 11,11.27 km,1017.6 mb,93%,15°, - Day 17Waning Gibbous,--,14 c,None,None,162,None,None
2023-12-01 01:08:59.169935+05:00,pakistan,32.5000,74.5333,Sialkot City,Smoke,14 c,14 c, 0 km/h,<svg class="Icon--icon--2aW0V Icon--darkTheme--1PZ-8" data-testid="Icon" name="wind-direction" set="current-conditions" style="transform:rotate(10deg)" theme="dark" viewbox="0 0 24 24"><title>Wind Direction</title><path d="M18.467 4.482l-5.738 5.738a1.005 1.005 0 0 1-1.417 0L5.575 4.482l6.446 16.44 6.446-16.44z" fill="none" stroke="currentColor"></path></svg>,0 of 11,4.02 km,1020.0 mb,85%,12°, - Day 17Waning Gibbous,--,11 c,None,None,84,None,None
2023-12-01 01:08:59.502890+05:00,pakistan,31.6333,71.0667,Bhakkar,Fair,16 c,16 c, 6 km/h,<svg class="Icon--icon--2aW0V Icon--darkTheme--1PZ-8" data-testid="Icon" name="wind-direction" set="current-conditions" style="transform:rotate(0deg)" theme="dark" viewbox="0 0 24 24"><title>Wind Direction</title><path d="M18.467 4.482l-5.738 5.738a1.005 1.005 0 0 1-1.417 0L5.575 4.482l6.446 16.44 6.446-16.44z" fill="none" stroke="currentColor"></path></svg>,0 of 11,11.27 km,Arrow Up1019.3 mb,94%,14°, - Day 17Waning Gibbous,--,13 c,None,None,228,None,None
2023-12-01 01:08:59.656879+05:00,pakistan,31.8020,74.2550,Muridke,Clear,13 c,13 c, 3 km/h,<svg class="Icon--icon--2aW0V Icon--darkTheme--1PZ-8" data-testid="Icon" name="wind-direction" set="current-conditions" style="transform:rotate(50deg)" theme="dark" viewbox="0 0 24 24"><title>Wind Direction</title><path d="M18.467 4.482l-5.738 5.738a1.005 1.005 0 0 1-1.417 0L5.575 4.482l6.446 16.44 6.446-16.44z" fill="none" stroke="currentColor"></path></svg>,0 of 11,8.05 km,1019.0 mb,91%,12°, - Day 17Waning Gibbous,--,11 c,None,None,166,None,None
2023-12-01 01:08:59.799393+05:00,pakistan,33.6007,73.0679,Rawalpindi,Smoke,13 c,13 c, 0 km/h,<svg class="Icon--icon--2aW0V Icon--darkTheme--1PZ-8" data-testid="Icon" name="wind-direction" set="current-conditions" style="transform:rotate(50deg)" theme="dark" viewbox="0 0 24 24"><title>Wind Direction</title><path d="M18.467 4.482l-5.738 5.738a1.005 1.005 0 0 1-1.417 0L5.575 4.482l6.446 16.44 6.446-16.44z" fill="none" stroke="currentColor"></path></svg>,0 of 11,4.83 km,1020.0 mb,84%,10°, - Day 17Waning Gibbous,--,10 c,None,None,161,None,None
2023-12-01 01:09:00.258125+05:00,pakistan,26.0012,63.0485,Turbat,Clear,19 c,19 c, 6 km/h,<svg class="Icon--icon--2aW0V Icon--darkTheme--1PZ-8" data-testid="Icon" name="wind-direction" set="current-conditions" style="transform:rotate(350deg)" theme="dark" viewbox="0 0 24 24"><title>Wind Direction</title><path d="M18.467 4.482l-5.738 5.738a1.005 1.005 0 0 1-1.417 0L5.575 4.482l6.446 16.44 6.446-16.44z" fill="none" stroke="currentColor"></path></svg>,0 of 11,Unlimited,1016.6 mb,57%,11°, - Day 17Waning Gibbous,--,15 c,None,None,70,None,None
2023-12-01 01:09:00.791552+05:00,pakistan,30.1920,67.0070,Quetta,Clear,7 c,7 c, 3 km/h,<svg class="Icon--icon--2aW0V Icon--darkTheme--1PZ-8" data-testid="Icon" name="wind-direction" set="current-conditions" style="transform:rotate(130deg)" theme="dark" viewbox="0 0 24 24"><title>Wind Direction</title><path d="M18.467 4.482l-5.738 5.738a1.005 1.005 0 0 1-1.417 0L5.575 4.482l6.446 16.44 6.446-16.44z" fill="none" stroke="currentColor"></path></svg>,0 of 11,Unlimited,Arrow Up1020.7 mb,65%,1°, - Day 17Waning Gibbous,--,3 c,None,None,152,None,None
2023-12-01 01:09:00.849376+05:00,pakistan,34.5656,71.9304,Malakand,Mostly Cloudy,12 c,11 c, 6 km/h,<svg class="Icon--icon--2aW0V Icon--darkTheme--1PZ-8" data-testid="Icon" name="wind-direction" set="current-conditions" style="transform:rotate(310deg)" theme="dark" viewbox="0 0 24 24"><title>Wind Direction</title><path d="M18.467 4.482l-5.738 5.738a1.005 1.005 0 0 1-1.417 0L5.575 4.482l6.446 16.44 6.446-16.44z" fill="none" stroke="currentColor"></path></svg>,0 of 11,11.27 km,1021.7 mb,94%,11°, - Day 17Waning Gibbous,--,9 c,None,None,369,None,None
2023-12-01 01:09:00.947131+05:00,pakistan,33.6989,73.0369,Islamabad,Smoke,13 c,13 c, 0 km/h,<svg class="Icon--icon--2aW0V Icon--darkTheme--1PZ-8" data-testid="Icon" name="wind-direction" set="current-conditions" style="transform:rotate(40deg)" theme="dark" viewbox="0 0 24 24"><title>Wind Direction</title><path d="M18.467 4.482l-5.738 5.738a1.005 1.005 0 0 1-1.417 0L5.575 4.482l6.446 16.44 6.446-16.44z" fill="none" stroke="currentColor"></path></svg>,0 of 11,4.83 km,1020.0 mb,81%,10°, - Day 17Waning Gibbous,--,11 c,None,None,162,None,None
2023-12-01 01:09:01.463365+05:00,pakistan,30.4700,70.9644,Kot Addu,Clear,16 c,16 c, 3 km/h,<svg class="Icon--icon--2aW0V Icon--darkTheme--1PZ-8" data-testid="Icon" name="wind-direction" set="current-conditions" style="transform:rotate(340deg)" theme="dark" viewbox="0 0 24 24"><title>Wind Direction</title><path d="M18.467 4.482l-5.738 5.738a1.005 1.005 0 0 1-1.417 0L5.575 4.482l6.446 16.44 6.446-16.44z" fill="none" stroke="currentColor"></path></svg>,0 of 11,12.87 km,Arrow Up1018.6 mb,88%,14°, - Day 17Waning Gibbous,--,14 c,None,None,182,None,None
